,Unnamed: 0,osmid,name,area,distance,water,university,centroid_long,centroid_lat,pixel_size,pixel_count,total_pixel_area
0,0,277584,Dhom reservoir,12902090.118495416,79414.96295395005,reservoir,Ajeenkya D Y Patil University,73.788665918166,17.979079110793748,5,513799,12844975
1,1,278303,Pimpalgaon Joga Reservoir,21544645.45829165,86045.5846751284,reservoir,Amity University,73.838884246856,19.32903656260788,5,864677,21616925
2,2,278467,Yedgaon Reservoir,8330739.722852452,64936.430139969045,reservoir,Ajeenkya D Y Patil University,73.99128224793677,19.182564635767587,5,333829,8345725
3,3,311633,Vihar Lake,4768830.130727211,31244.52599566873,reservoir,Amity University,72.91102906422024,19.15399586718384,5,196032,4900800
4,4,332072,Maharana Pratap Reservoir,232622475.6081592,34042.231935133444,reservoir,Arni University,76.05455293969767,31.996503961073472,15,1039287,233839575
5,5,357472,Jalaput Reservoir,82112140.78956616,107375.8059374187,reservoir,Andhra University,82.59608142416981,18.39592620140471,10,878103,87810300
6,6,1579454,Yeleru Reservoir,47535801.57975616,44401.00678283115,reservoir,Adikavi Nannaya University,82.06348580602044,17.322695232505996,5,1916439,47910975
7,7,1597740,,8058648.991981849,64958.4813112929,reservoir,Aliah University,87.79446779315616,22.607969708784665,5,322727,8068175
8,8,1601368,Gobind Sagar,128878017.97585098,48946.63858861128,reservoir,Abhilashi University,76.54295053297236,31.385295002460893,20,324139,129655600
9,9,1606905,Shabd Lake,974131.6993290164,35061.56972186247,lake,Acharya Ng Ranga Agricultural University,78.12125595719915,17.157075082898547,5,39118,977950
10,10,1608747,Thatipudi Reservoir,9981767.426144067,54149.39167567542,reservoir,Andhra University,83.1851859640548,18.18998629333628,5,405894,10147350
11,11,1616059,,1040060.478696652,77992.42465036757,lake,Alliance University,78.15069719511686,12.304283361314344,5,41612,1040300
12,12,1623305,,1246895.3922580783,74127.27113980326,reservoir,Anna University,79.55484324944139,12.960417576361037,5,49823,1245575
13,13,1624070,Pulicat Lake,560535302.2252151,69036.56640057202,lake,Anna University,80.16097958356342,13.630830831772233,25,1053149,658218125
14,14,1625556,Kondakarla Ava,1974010.361541024,36348.96869558803,lake,Andhra University,83.00150436274185,17.603546953692685,5,79114,1977850
15,15,1765313,Keetham Lake,1738397.5696580696,67224.33133086779,lake,Aligarh Muslim University,77.84193835262383,27.25258263276392,5,71301,1782525
16,16,1846716,,2556333.707839233,69206.75522486414,reservoir,Awadesh Pratap Singh University,81.0324949812494,25.12653882292944,5,103502,2587550
17,17,1866836,,6576753.931052188,39834.94865820085,reservoir,Amity University,77.8172109856372,26.244937507199914,5,278082,6952050
18,18,1894403,Pavana Lake,23478358.975845285,48747.79631054012,reservoir,Amity University,73.47068463176537,18.666231530680545,5,948711,23717775
19,19,1898752,Mulshi Lake,37616829.32482184,58773.195975788745,reservoir,Amity University,73.46031415346859,18.53345534171871,10,377015,37701500
20,20,1929498,,8202942.000868592,50954.39451812036,reservoir,Acharya Ng Ranga Agricultural University,78.0587693663683,17.664815597275282,5,339117,8477925
21,21,1945995,Tighra Dam,13388237.499507563,23273.13620633513,reservoir,Amity University,77.98491197070173,26.212170264068305,5,544827,13620675
22,22,2252564,Man Sagar,1091206.0991182984,32199.39408824866,lake,Amity University,75.84951024624827,26.956006970581853,5,43925,1098125
23,23,2810519,Indira Sagar,701878665.7108058,131506.80182962643,reservoir,Aisect University,76.66924078723258,22.195976318821813,25,1144148,715092500
24,24,2833155,Hussain Sagar,4541932.56408384,13038.781643135646,lake,Acharya Ng Ranga Agricultural University,78.47421556683886,17.4240495749166,5,182554,4563850
25,25,3339054,Baravi Lake,16810533.752828605,37302.54454046831,reservoir,Amity University,73.37135972025337,19.194391941785483,5,663566,16589150
26,26,3436455,Nira Deoghar,13161185.60051095,74570.25204962828,reservoir,Ajeenkya D Y Patil University,73.68976014957913,18.094680964655133,5,520761,13019025
27,27,5307294,,14666592.09616388,45803.58355476693,reservoir,Awadesh Pratap Singh University,81.57214384903854,24.21320068094548,10,151127,15112700
28,28,5411363,Himayat Sagar,14869243.08698988,4929.035718745304,lake,Acharya Ng Ranga Agricultural University,78.35353829974278,17.3128601804119,5,602296,15057400
29,29,5414768,Upper Lake,25047905.11819736,9787.58571863606,lake,Atal Bihari Vajpai Hindi Vishwavidyalaya,77.34203974374758,23.24879453088953,10,256042,25604200
30,30,5485416,Peechi Reservoir,7356858.131095834,66238.65757392884,reservoir,Amrita Vishwa Vidyapeetham,76.3934937254135,10.532060987048045,5,301131,7528275
31,31,5855859,Andra Dam,5920595.223694254,55067.71363872613,reservoir,Amity University,73.62266828367319,18.813366782120728,5,239758,5993950
32,32,5859718,Bhama Askhed Reservoir,15277755.098949526,56054.4549032367,reservoir,Ajeenkya D Y Patil University,73.68029080513541,18.866856152220524,10,152807,15280700
33,33,5923218,Andhra Lake,24986024.81399593,42508.81126797196,lake,Amity University,73.52122531152175,18.90106402589063,10,252186,25218600
34,34,6743775,Singanallur Lake,984807.0865475602,8100.638579056228,lake,Avinashilingam Institute For Home Science & Higher Education For Women,77.02232227656975,10.990603936989087,5,39711,992775
35,35,7112404,Bhatsa Reservoir,22354030.14022966,72231.66907421633,reservoir,Amity University,73.43888490680898,19.53402031411047,10,223076,22307600
36,36,7120639,,1967291.75207545,94369.18451134526,reservoir,Awadesh Pratap Singh University,80.67073502200658,25.16277722711285,5,79148,1978700
37,37,7323730,Umiam Lake,7644446.402644069,55734.92064928562,lake,Assam Down Town University,91.87993145794594,25.651672784151003,5,306902,7672550
38,38,7615092,,1632140.249548731,57845.69415213734,reservoir,Amrita Vishwa Vidyapeetham,76.89524295287949,10.31260209943873,5,65119,1627975
39,39,7876724,Singur Lake,133245896.3946643,78458.94050153093,reservoir,Acharya Ng Ranga Agricultural University,77.86234930210446,17.827607943833094,15,598628,134691300
40,40,7891400,,1185221.7749376292,93601.66616374938,reservoir,Acharya Nagarjuna University,79.92309337586006,17.05268779495352,5,47466,1186650
41,41,7891933,Jalleru Jalasayamu,1086038.108974717,61169.89501973853,reservoir,Adikavi Nannaya University,81.35049235566734,17.289563461276266,5,43305,1082625
42,42,7896716,,3602150.2940421044,85922.32561276449,reservoir,Ajeenkya D Y Patil University,73.69624579403227,17.96296011246407,5,143570,3589250
43,43,7896818,,3117786.095988925,51747.82879342784,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,76.54282761282892,11.251719928557325,5,124975,3124375
44,44,7897624,Avalanchi reservoir,7522836.526227967,51188.22991886815,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,76.60739005163369,11.331443020377064,5,301751,7543775
45,45,7897625,Pykara reservoir,3355551.658714482,60720.68896750959,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,76.5916009026027,11.436514290235634,5,134353,3358825
46,46,7897626,,3196833.964479513,60173.72812436342,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,76.55537215650236,11.395564138696544,5,129067,3226675
47,47,7897627,,933523.464705529,56093.60759794153,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,76.60291600283668,11.390258210332371,5,37400,935000
48,48,7897628,,2344209.5537786074,56777.14462840247,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,76.57090525814806,11.36695449042085,5,94539,2363475
49,49,7897802,Kanjirappuzha lake,4247747.580908296,43681.045210513184,reservoir,Amrita Vishwa Vidyapeetham,76.5477650599936,10.989055154575048,5,174451,4361275
50,50,7903591,Lower Sholayar Reservoir,9134028.370717894,59841.37607333769,reservoir,Amrita Vishwa Vidyapeetham,76.78286335389205,10.31036311647932,5,382678,9566950
51,51,7903592,Idamalayar Reservoir,27295080.09412193,67651.49072280772,reservoir,Amrita Vishwa Vidyapeetham,76.75159662833283,10.245499219582284,10,293912,29391200
52,52,7903593,,2172983.820619498,31631.87359514009,reservoir,Amrita Vishwa Vidyapeetham,76.77195352932537,10.587003050407526,5,87260,2181500
53,53,7903595,,3676726.302611148,54113.71396159149,reservoir,Amrita Vishwa Vidyapeetham,77.40767177173375,10.783907018434869,5,148877,3721925
54,54,7914313,Bhatgar reservoir,32067962.152390093,59567.30437211411,reservoir,Ajeenkya D Y Patil University,73.78015263686972,18.19914188269276,10,314476,31447600
